Epoch: 168   |   Top1: 66.05405%   |   Top5: 96.64865%   |   Top10: 98.7027%
Epoch: 169   |   Top1: 65.94595%   |   Top5: 96.97297%   |   Top10: 99.02703%
Epoch: 170   |   Top1: 62.27027%   |   Top5: 94.91892%   |   Top10: 98.16216%
Epoch: 171   |   Top1: 63.02703%   |   Top5: 95.45946%   |   Top10: 98.27027%
Epoch: 172   |   Top1: 67.35135%   |   Top5: 96.86486%   |   Top10: 99.56757%
Epoch: 173   |   Top1: 65.40541%   |   Top5: 96.43243%   |   Top10: 98.91892%
Epoch: 174   |   Top1: 63.24324%   |   Top5: 96.21622%   |   Top10: 98.91892%
Epoch: 175   |   Top1: 55.78378%   |   Top5: 90.7027%   |   Top10: 94.91892%
Epoch: 176   |   Top1: 64.21622%   |   Top5: 96.0%   |   Top10: 98.81081%
Epoch: 177   |   Top1: 60.97297%   |   Top5: 94.37838%   |   Top10: 98.48649%
Epoch: 178   |   Top1: 59.67568%   |   Top5: 93.72973%   |   Top10: 97.83784%
Epoch: 179   |   Top1: 62.7027%   |   Top5: 95.56757%   |   Top10: 98.37838%
Epoch: 180   |   Top1: 64.54054%   |   Top5: 96.10811%   |   Top10: 98.81081%
Epoch: 181   |   Top1: 64.64865%   |   Top5: 96.10811%   |   Top10: 99.67568%
Epoch: 182   |   Top1: 65.2973%   |   Top5: 96.64865%   |   Top10: 99.13514%
Epoch: 183   |   Top1: 60.32432%   |   Top5: 92.97297%   |   Top10: 96.86486%
Epoch: 184   |   Top1: 63.35135%   |   Top5: 93.72973%   |   Top10: 98.05405%
Epoch: 185   |   Top1: 64.64865%   |   Top5: 94.91892%   |   Top10: 98.05405%
Epoch: 186   |   Top1: 65.83784%   |   Top5: 94.81081%   |   Top10: 98.37838%
Epoch: 187   |   Top1: 64.43243%   |   Top5: 95.67568%   |   Top10: 98.37838%
Epoch: 188   |   Top1: 66.16216%   |   Top5: 96.21622%   |   Top10: 98.91892%
Epoch: 189   |   Top1: 62.05405%   |   Top5: 94.27027%   |   Top10: 97.40541%
Epoch: 190   |   Top1: 68.64865%   |   Top5: 96.75676%   |   Top10: 98.81081%
Epoch: 191   |   Top1: 63.35135%   |   Top5: 95.02703%   |   Top10: 98.59459%
